"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 10, 2022","29,083.3","30,097.4","30,325.6","28,884.9","104.26K","-3.37%"
"Jun 09, 2022","30,097.8","30,202.1","30,691.4","29,953.8","61.72K","-0.34%"
"Jun 08, 2022","30,201.6","31,127.2","31,312.1","29,874.8","87.96K","-2.98%"
"Jun 07, 2022","31,128.8","31,370.3","31,556.6","29,235.0","140.32K","-0.76%"
"Jun 06, 2022","31,367.6","29,911.2","31,753.4","29,888.6","94.01K","4.86%"
"Jun 05, 2022","29,913.0","29,865.1","30,166.9","29,539.0","30.33K","0.16%"
"Jun 04, 2022","29,864.3","29,700.9","29,963.8","29,489.5","33.51K","0.55%"
"Jun 03, 2022","29,700.9","30,455.7","30,674.8","29,330.8","72.13K","-2.48%"
"Jun 02, 2022","30,455.5","29,798.6","30,638.5","29,604.4","81.40K","2.20%"
"Jun 01, 2022","29,798.5","31,793.1","31,969.9","29,396.6","135.09K","-6.27%"
"May 31, 2022","31,793.4","31,730.2","32,377.5","31,221.2","86.60K","0.22%"
"May 30, 2022","31,723.3","29,465.2","32,185.6","29,307.2","129.56K","7.66%"
"May 29, 2022","29,465.2","29,027.1","29,556.5","28,838.7","36.87K","1.51%"
"May 28, 2022","29,027.1","28,620.1","29,194.4","28,537.2","43.87K","1.49%"
"May 27, 2022","28,601.2","29,194.0","29,377.1","28,282.2","116.41K","-2.06%"
"May 26, 2022","29,203.5","29,537.9","29,868.9","28,077.9","126.71K","-1.14%"
"May 25, 2022","29,540.6","29,648.7","30,202.3","29,353.5","78.85K","-0.36%"
"May 24, 2022","29,648.7","29,091.6","29,810.8","28,706.1","79.42K","1.91%"
"May 23, 2022","29,093.3","30,287.3","30,644.8","28,913.6","92.10K","-3.94%"
"May 22, 2022","30,286.6","29,433.0","30,462.0","29,260.1","50.60K","2.89%"
"May 21, 2022","29,434.6","29,188.7","29,623.2","28,953.9","32.27K","0.88%"
"May 20, 2022","29,178.6","30,305.9","30,735.1","28,738.5","98.78K","-3.72%"
"May 19, 2022","30,305.9","28,700.4","30,525.1","28,682.1","101.38K","5.66%"
"May 18, 2022","28,683.7","30,437.5","30,687.9","28,648.1","92.03K","-5.76%"
